,iso_code,continent,country,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients,hosp_patients,weekly_icu_admissions,new_tests,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index
70620,ITA,Europe,Italy,2020-01-31,2.0,2.0,,,0.033,,,,,,,,,,,,,,,,,,,,19.44,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892
70621,ITA,Europe,Italy,2020-02-01,2.0,0.0,,,0.033,,,,,,,,,,,,,,,,,,,,19.44,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892
70622,ITA,Europe,Italy,2020-02-02,2.0,0.0,,,0.033,,,,,,,,,,,,,,,,,,,,19.44,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892
70623,ITA,Europe,Italy,2020-02-03,2.0,0.0,,,0.033,,,,,,,,,,,,,,,,,,,,19.44,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892
70624,ITA,Europe,Italy,2020-02-04,2.0,0.0,,,0.033,,,,,,,,,,,,,,,,,,,,19.44,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892
70625,ITA,Europe,Italy,2020-02-05,2.0,0.0,,,0.033,,,,,,,,,,,,,,,,,,,,19.44,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892
70626,ITA,Europe,Italy,2020-02-06,2.0,0.0,,,0.033,,,,,,,,,,,,,,,,,,,,19.44,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892
70627,ITA,Europe,Italy,2020-02-07,3.0,1.0,,,0.05,,,,,,,,,,,,,,,,,,,,19.44,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892
70628,ITA,Europe,Italy,2020-02-08,3.0,0.0,,,0.05,,,,,,,,,,,,,,,,,,,,19.44,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892
70629,ITA,Europe,Italy,2020-02-09,3.0,0.0,,,0.05,,,,,,,,,,,,,,,,,,,,19.44,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892
70630,ITA,Europe,Italy,2020-02-10,3.0,0.0,,,0.05,,,,,,,,,,,,,,,,,,,,19.44,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892
70631,ITA,Europe,Italy,2020-02-11,3.0,0.0,,,0.05,,,,,,,,,,,,,,,,,,,,19.44,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892
