,iso_code,continent,country,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients,hosp_patients,weekly_icu_admissions,new_tests,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index
8306,AUS,Oceania,Australia,2020-01-26,4.0,4.0,,,0.155,,,,,,,,,,,,,,,,,,,,5.56,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
8307,AUS,Oceania,Australia,2020-01-27,5.0,1.0,,,0.194,,,,,,,,,,,,,,,,,,,,5.56,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
8308,AUS,Oceania,Australia,2020-01-28,5.0,0.0,,,0.194,,,,,,,,,,,,,,,,,,,,5.56,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
8309,AUS,Oceania,Australia,2020-01-29,6.0,1.0,,,0.233,,,,,,,,,,,,,,,,,,,,5.56,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
8310,AUS,Oceania,Australia,2020-01-30,9.0,3.0,,,0.349,,,,,,,,,,,,,,,,,,,,5.56,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
8311,AUS,Oceania,Australia,2020-01-31,9.0,0.0,,,0.349,,,,,,,,,,,,,,,,,,,,5.56,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
8312,AUS,Oceania,Australia,2020-02-01,12.0,3.0,,,0.465,,,,,,,,,,,,,,,,,,,,13.89,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
8313,AUS,Oceania,Australia,2020-02-02,12.0,0.0,,,0.465,,,,,,,,,,,,,,,,,,,,13.89,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
8314,AUS,Oceania,Australia,2020-02-03,12.0,0.0,,,0.465,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
8315,AUS,Oceania,Australia,2020-02-04,13.0,1.0,,,0.504,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
8316,AUS,Oceania,Australia,2020-02-05,13.0,0.0,,,0.504,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
8317,AUS,Oceania,Australia,2020-02-06,14.0,1.0,,,0.543,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
8318,AUS,Oceania,Australia,2020-02-07,15.0,1.0,,,0.582,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
8319,AUS,Oceania,Australia,2020-02-08,15.0,0.0,,,0.582,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
8320,AUS,Oceania,Australia,2020-02-09,15.0,0.0,,,0.582,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
8321,AUS,Oceania,Australia,2020-02-10,15.0,0.0,,,0.582,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
8322,AUS,Oceania,Australia,2020-02-11,15.0,0.0,,,0.582,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
8323,AUS,Oceania,Australia,2020-02-12,15.0,0.0,,,0.582,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
8324,AUS,Oceania,Australia,2020-02-13,15.0,0.0,,,0.582,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
8325,AUS,Oceania,Australia,2020-02-14,15.0,0.0,,,0.582,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
8326,AUS,Oceania,Australia,2020-02-15,15.0,0.0,,,0.582,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944
