,iso_code,continent,country,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients,hosp_patients,weekly_icu_admissions,new_tests,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index
25344,CAN,North America,Canada,2020-01-26,1.0,1.0,,,0.026,,,,,,,,,,,,,,,,,,,,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929
25345,CAN,North America,Canada,2020-01-27,1.0,0.0,,,0.026,,,,,,,,,,,,,,,,,,,,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929
25346,CAN,North America,Canada,2020-01-28,2.0,1.0,,,0.053,,,,,,,,,,,,,,,,,,,,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929
25347,CAN,North America,Canada,2020-01-29,2.0,0.0,,,0.053,,,,,,,,,,,,,,,,,,,,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929
25348,CAN,North America,Canada,2020-01-30,2.0,0.0,,,0.053,,,,,,,,,,,,,,,,,,,,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929
25349,CAN,North America,Canada,2020-01-31,4.0,2.0,,,0.105,,,,,,,0.0,0.0,,,,,,,,,,,,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929
25350,CAN,North America,Canada,2020-02-01,4.0,0.0,,,0.105,,,,,,,,,,,,,,,,,,,,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929
25351,CAN,North America,Canada,2020-02-02,4.0,0.0,,,0.105,,,,,,,,,,,,,,,,,,,,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929
25352,CAN,North America,Canada,2020-02-03,4.0,0.0,,,0.105,,,,,,,,,,,,,,,,,,,,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929
25353,CAN,North America,Canada,2020-02-04,4.0,0.0,,,0.105,,,,,,,,,,,,,,,,,,,,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929
25354,CAN,North America,Canada,2020-02-05,5.0,1.0,,,0.131,,,,,,,,,,,,,,,,,,,,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929
25355,CAN,North America,Canada,2020-02-06,5.0,0.0,,,0.131,,,,,,,,,,,,,,,,,,,,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929
25356,CAN,North America,Canada,2020-02-07,7.0,2.0,,,0.184,,,,,,,,,0.0536,18.6,,,,,,,,,,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929
25357,CAN,North America,Canada,2020-02-08,7.0,0.0,,,0.184,,,,,,,63.0,0.002,0.0536,18.6,,,,,,,,,,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929
25358,CAN,North America,Canada,2020-02-09,7.0,0.0,,,0.184,,,,,,,,,0.0536,18.6,,,,,,,,,,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929
25359,CAN,North America,Canada,2020-02-10,7.0,0.0,,,0.184,,,,,,,,,0.0613,16.3,,,,,,,,,,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929
25360,CAN,North America,Canada,2020-02-11,7.0,0.0,,,0.184,,,,,,,,,0.0613,16.3,,,,,,,,,,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929
25361,CAN,North America,Canada,2020-02-12,7.0,0.0,,,0.184,,,,,,,,,0.0409,24.5,,,,,,,,,,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929
25362,CAN,North America,Canada,2020-02-13,7.0,0.0,,,0.184,,,,,,,,,0.0477,21.0,,,,,,,,,,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929
