,iso_code,continent,country,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients,hosp_patients,weekly_icu_admissions,new_tests,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index
40581,ECU,South America,Ecuador,2020-03-01,6.0,6.0,,,0.335,,,,,,,,,,,,,,,,,,,,5.56,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759
40582,ECU,South America,Ecuador,2020-03-02,6.0,0.0,,,0.335,,,,,,,,,,,,,,,,,,,,8.33,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759
40583,ECU,South America,Ecuador,2020-03-03,7.0,1.0,,,0.391,,,,,,,,,,,,,,,,,,,,8.33,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759
40584,ECU,South America,Ecuador,2020-03-04,10.0,3.0,,,0.559,,,,,,,,,,,,,,,,,,,,8.33,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759
40585,ECU,South America,Ecuador,2020-03-05,13.0,3.0,,,0.727,,,,,,,,,,,,,,,,,,,,8.33,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759
40586,ECU,South America,Ecuador,2020-03-06,13.0,0.0,,,0.727,,,,,,,,,,,,,,,,,,,,8.33,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759
40587,ECU,South America,Ecuador,2020-03-07,13.0,0.0,,,0.727,,,,,,,,,,,,,,,,,,,,8.33,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759
40588,ECU,South America,Ecuador,2020-03-08,14.0,1.0,,,0.783,,,,,,,,,,,,,,,,,,,,8.33,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759
40589,ECU,South America,Ecuador,2020-03-09,15.0,1.0,,,0.839,,,,,,,,,,,,,,,,,,,,8.33,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759
40590,ECU,South America,Ecuador,2020-03-10,15.0,0.0,,,0.839,,,,,,,,,,,,,,,,,,,,8.33,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759
40591,ECU,South America,Ecuador,2020-03-11,17.0,2.0,,,0.95,,,,,,,,,,,,,,,,,,,,8.33,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759
40592,ECU,South America,Ecuador,2020-03-12,17.0,0.0,,,0.95,,,,,,,,,,,,,,,,,,,,8.33,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759
40593,ECU,South America,Ecuador,2020-03-13,17.0,0.0,,,0.95,,,,,,,,,,,,,,,,,,,,36.11,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759
40594,ECU,South America,Ecuador,2020-03-14,28.0,11.0,2.0,2.0,1.565,0.112,0.112,,,,,,,,,,,,,,,,,,36.11,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759
40595,ECU,South America,Ecuador,2020-03-15,28.0,0.0,2.0,0.0,1.565,0.112,0.0,,,,,,,,,,,,,,,,,,55.56,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759
40596,ECU,South America,Ecuador,2020-03-16,37.0,9.0,2.0,0.0,2.068,0.112,0.0,,,,,,,,,,,,,,,,,,55.56,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759
40597,ECU,South America,Ecuador,2020-03-17,58.0,21.0,2.0,0.0,3.242,0.112,0.0,,,,,,,,,,,,,,,,,,93.52,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759
40598,ECU,South America,Ecuador,2020-03-18,111.0,53.0,2.0,0.0,6.205,0.112,0.0,,,,,480.0,0.027,,,,,,,,,,,,93.52,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759
40599,ECU,South America,Ecuador,2020-03-19,199.0,88.0,3.0,1.0,11.124,0.168,0.056,,,,192.0,672.0,0.038,,,,,,,,,,,,93.52,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759
