,iso_code,continent,country,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients,hosp_patients,weekly_icu_admissions,new_tests,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index
91469,MEX,North America,Mexico,2020-01-01,,,,,,,,,,,25.0,25.0,0.0,,,,,,,,,,,,0.0,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779
91470,MEX,North America,Mexico,2020-01-02,,,,,,,,,,,72.0,97.0,0.001,,,,,,,,,,,,0.0,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779
91471,MEX,North America,Mexico,2020-01-03,,,,,,,,,,,89.0,186.0,0.001,,,,,,,,,,,,0.0,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779
91472,MEX,North America,Mexico,2020-01-04,,,,,,,,,,,45.0,231.0,0.002,,,,,,,,,,,,0.0,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779
91473,MEX,North America,Mexico,2020-01-05,,,,,,,,,,,81.0,312.0,0.002,,,,,,,,,,,,0.0,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779
91474,MEX,North America,Mexico,2020-01-06,,,,,,,,,,,166.0,478.0,0.004,0.0,,,,,,,,,,,0.0,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779
91475,MEX,North America,Mexico,2020-01-07,,,,,,,,,,,184.0,662.0,0.005,0.0,,,,,,,,,,,0.0,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779
91476,MEX,North America,Mexico,2020-01-08,,,,,,,,,,,169.0,831.0,0.006,0.0,,,,,,,,,,,0.0,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779
91477,MEX,North America,Mexico,2020-01-09,,,,,,,,,,,191.0,1022.0,0.008,0.0,,,,,,,,,,,0.0,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779
91478,MEX,North America,Mexico,2020-01-10,,,,,,,,,,,147.0,1169.0,0.009,0.0,,,,,,,,,,,0.0,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779
91479,MEX,North America,Mexico,2020-01-11,,,,,,,,,,,45.0,1214.0,0.009,0.0,,,,,,,,,,,0.0,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779
91480,MEX,North America,Mexico,2020-01-12,,,,,,,,,,,129.0,1343.0,0.01,0.0,,,,,,,,,,,0.0,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779
91481,MEX,North America,Mexico,2020-01-13,,,,,,,,,,,225.0,1568.0,0.012,0.0,,,,,,,,,,,0.0,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779
91482,MEX,North America,Mexico,2020-01-14,,,,,,,,,,,239.0,1807.0,0.014,0.0,,,,,,,,,,,0.0,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779
