,iso_code,continent,country,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients,hosp_patients,weekly_icu_admissions,new_tests,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index
106936,OMN,Asia,Oman,2020-02-24,2.0,2.0,,,0.383,,,,,,,,,,,,,,,,,,,,19.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106937,OMN,Asia,Oman,2020-02-25,2.0,0.0,,,0.383,,,,,,,,,,,,,,,,,,,,19.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106938,OMN,Asia,Oman,2020-02-26,4.0,2.0,,,0.766,,,,,,,,,,,,,,,,,,,,19.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106939,OMN,Asia,Oman,2020-02-27,4.0,0.0,,,0.766,,,,,,,,,,,,,,,,,,,,19.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106940,OMN,Asia,Oman,2020-02-28,4.0,0.0,,,0.766,,,,,,,,,,,,,,,,,,,,19.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106941,OMN,Asia,Oman,2020-02-29,6.0,2.0,,,1.149,,,,,,,,,,,,,,,,,,,,19.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106942,OMN,Asia,Oman,2020-03-01,6.0,0.0,,,1.149,,,,,,,,,,,,,,,,,,,,19.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106943,OMN,Asia,Oman,2020-03-02,6.0,0.0,,,1.149,,,,,,,,,,,,,,,,,,,,19.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106944,OMN,Asia,Oman,2020-03-03,12.0,6.0,,,2.297,,,,,,,,,,,,,,,,,,,,19.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106945,OMN,Asia,Oman,2020-03-04,15.0,3.0,,,2.872,,,,,,,,,,,,,,,,,,,,19.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106946,OMN,Asia,Oman,2020-03-05,16.0,1.0,,,3.063,,,,,,,,,,,,,,,,,,,,19.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106947,OMN,Asia,Oman,2020-03-06,16.0,0.0,,,3.063,,,,,,,,,,,,,,,,,,,,19.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106948,OMN,Asia,Oman,2020-03-07,16.0,0.0,,,3.063,,,,,,,,,,,,,,,,,,,,19.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106949,OMN,Asia,Oman,2020-03-08,16.0,0.0,,,3.063,,,,,,,,,,,,,,,,,,,,19.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106950,OMN,Asia,Oman,2020-03-09,16.0,0.0,,,3.063,,,,,,,,,,,,,,,,,,,,19.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106951,OMN,Asia,Oman,2020-03-10,18.0,2.0,,,3.446,,,,,,,,,,,,,,,,,,,,19.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106952,OMN,Asia,Oman,2020-03-11,18.0,0.0,,,3.446,,,,,,,,,,,,,,,,,,,,19.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106953,OMN,Asia,Oman,2020-03-12,18.0,0.0,,,3.446,,,,,,,,,,,,,,,,,,,,19.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106954,OMN,Asia,Oman,2020-03-13,19.0,1.0,,,3.637,,,,,,,,,,,,,,,,,,,,19.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106955,OMN,Asia,Oman,2020-03-14,19.0,0.0,,,3.637,,,,,,,,,,,,,,,,,,,,19.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106956,OMN,Asia,Oman,2020-03-15,22.0,3.0,,,4.212,,,,,,,,,,,,,,,,,,,,30.56,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106957,OMN,Asia,Oman,2020-03-16,22.0,0.0,,,4.212,,,,,,,,,,,,,,,,,,,,30.56,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
106958,OMN,Asia,Oman,2020-03-17,24.0,2.0,,,4.595,,,,,,,,,,,,,,,,,,,,52.78,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813
