,iso_code,continent,country,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients,hosp_patients,weekly_icu_admissions,new_tests,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index
113417,PRT,Europe,Portugal,2020-03-01,,,,,,,,,,,,25.0,0.002,,,,,,,,,,,,5.56,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864
113418,PRT,Europe,Portugal,2020-03-02,2.0,2.0,,,0.197,,,,,,45.0,70.0,0.007,,,,,,,,,,,,5.56,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864
113419,PRT,Europe,Portugal,2020-03-03,2.0,0.0,,,0.197,,,,,,61.0,131.0,0.013,,,,,,,,,,,,5.56,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864
113420,PRT,Europe,Portugal,2020-03-04,5.0,3.0,,,0.492,,,,,,40.0,171.0,0.017,,,,,,,,,,,,5.56,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864
113421,PRT,Europe,Portugal,2020-03-05,8.0,3.0,,,0.787,,,,9.0,,80.0,251.0,0.025,,,,,,,,,,,,5.56,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864
113422,PRT,Europe,Portugal,2020-03-06,13.0,5.0,,,1.279,,,,13.0,,81.0,332.0,0.033,,,,,,,,,,,,5.56,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864
113423,PRT,Europe,Portugal,2020-03-07,20.0,7.0,,,1.967,,,,21.0,,79.0,411.0,0.04,,,,,,,,,,,,5.56,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864
113424,PRT,Europe,Portugal,2020-03-08,30.0,10.0,,,2.95,,,,30.0,,84.0,495.0,0.049,0.064,15.6,,,,,,,,,,5.56,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864
113425,PRT,Europe,Portugal,2020-03-09,30.0,0.0,,,2.95,,,,38.0,,175.0,670.0,0.066,0.0465,21.5,,,,,,,,,,27.31,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864
113426,PRT,Europe,Portugal,2020-03-10,41.0,11.0,,,4.032,,,,40.0,,306.0,976.0,0.096,0.046,21.7,,,,,,,,,,35.65,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864
113427,PRT,Europe,Portugal,2020-03-11,59.0,18.0,,,5.803,,,,57.0,,580.0,1556.0,0.153,0.039,25.7,,,,,,,,,,35.65,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864
113428,PRT,Europe,Portugal,2020-03-12,59.0,0.0,,,5.803,,,,69.0,,938.0,2494.0,0.245,0.0228,43.9,,,,,,,,,,43.06,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864
113429,PRT,Europe,Portugal,2020-03-13,112.0,53.0,,,11.015,,,,107.0,,1551.0,4045.0,0.398,0.0267,37.5,,,,,,,,,,43.06,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864
113430,PRT,Europe,Portugal,2020-03-14,169.0,57.0,,,16.621,,,10.0,114.0,,1253.0,5298.0,0.521,0.0305,32.8,,,,,,,,,,43.06,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864
113431,PRT,Europe,Portugal,2020-03-15,245.0,76.0,,,24.095,,,9.0,139.0,,951.0,6249.0,0.615,0.0374,26.8,,,,,,,,,,53.7,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864
113432,PRT,Europe,Portugal,2020-03-16,331.0,86.0,,,32.553,,,18.0,139.0,,1683.0,7932.0,0.78,0.0415,24.1,,,,,,,,,,55.56,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864
113433,PRT,Europe,Portugal,2020-03-17,448.0,117.0,1.0,1.0,44.06,0.098,0.098,17.0,206.0,,2304.0,10236.0,1.007,0.0439,22.8,,,,,,,,,,55.56,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864
113434,PRT,Europe,Portugal,2020-03-18,448.0,0.0,2.0,1.0,44.06,0.197,0.098,20.0,89.0,,2465.0,12701.0,1.249,0.0349,28.6,,,,,,,,,,61.11,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864
113435,PRT,Europe,Portugal,2020-03-19,785.0,337.0,3.0,1.0,77.204,0.295,0.098,20.0,89.0,,2498.0,15199.0,1.495,0.0571,17.5,,,,,,,,,,82.41,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864
