,iso_code,continent,country,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients,hosp_patients,weekly_icu_admissions,new_tests,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index
131486,ESP,Europe,Spain,2020-02-01,1.0,1.0,,,0.021,,,,,,,,,,,,,,,,,,,,11.11,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904
131487,ESP,Europe,Spain,2020-02-02,1.0,0.0,,,0.021,,,,,,,,,,,,,,,,,,,,11.11,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904
131488,ESP,Europe,Spain,2020-02-03,1.0,0.0,,,0.021,,,,,,,,,,,,,,,,,,,,11.11,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904
131489,ESP,Europe,Spain,2020-02-04,1.0,0.0,,,0.021,,,,,,,,,,,,,,,,,,,,11.11,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904
131490,ESP,Europe,Spain,2020-02-05,1.0,0.0,,,0.021,,,,,,,,,,,,,,,,,,,,11.11,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904
131491,ESP,Europe,Spain,2020-02-06,1.0,0.0,,,0.021,,,,,,,,,,,,,,,,,,,,11.11,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904
131492,ESP,Europe,Spain,2020-02-07,1.0,0.0,,,0.021,,,,,,,,,,,,,,,,,,,,11.11,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904
131493,ESP,Europe,Spain,2020-02-08,1.0,0.0,,,0.021,,,,,,,,,,,,,,,,,,,,11.11,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904
131494,ESP,Europe,Spain,2020-02-09,2.0,1.0,,,0.043,,,,,,,,,,,,,,,,,,,,11.11,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904
131495,ESP,Europe,Spain,2020-02-10,2.0,0.0,,,0.043,,,,,,,,,,,,,,,,,,,,11.11,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904
131496,ESP,Europe,Spain,2020-02-11,2.0,0.0,,,0.043,,,,,,,,,,,,,,,,,,,,11.11,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904
131497,ESP,Europe,Spain,2020-02-12,2.0,0.0,,,0.043,,,,,,,,,,,,,,,,,,,,11.11,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904
131498,ESP,Europe,Spain,2020-02-13,2.0,0.0,,,0.043,,,,,,,,,,,,,,,,,,,,11.11,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904
131499,ESP,Europe,Spain,2020-02-14,2.0,0.0,,,0.043,,,,,,,,,,,,,,,,,,,,11.11,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904
131500,ESP,Europe,Spain,2020-02-15,2.0,0.0,,,0.043,,,,,,,,,,,,,,,,,,,,11.11,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904
131501,ESP,Europe,Spain,2020-02-16,2.0,0.0,,,0.043,,,,,,,,,,,,,,,,,,,,11.11,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904
131502,ESP,Europe,Spain,2020-02-17,2.0,0.0,,,0.043,,,,,,,,,,,,,,,,,,,,11.11,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904
131503,ESP,Europe,Spain,2020-02-18,2.0,0.0,,,0.043,,,,,,,,,,,,,,,,,,,,11.11,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904
131504,ESP,Europe,Spain,2020-02-19,2.0,0.0,,,0.043,,,,,,,,,,,,,,,,,,,,11.11,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904
