,iso_code,continent,country,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients,hosp_patients,weekly_icu_admissions,new_tests,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index
145989,GBR,Europe,United Kingdom,2020-01-31,2.0,2.0,,,0.029,,,,,,,,,,,,,,,,,,,,8.33,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932
145990,GBR,Europe,United Kingdom,2020-02-01,2.0,0.0,,,0.029,,,,,,,,,,,,,,,,,,,,8.33,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932
145991,GBR,Europe,United Kingdom,2020-02-02,2.0,0.0,,,0.029,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932
145992,GBR,Europe,United Kingdom,2020-02-03,8.0,6.0,,,0.117,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932
145993,GBR,Europe,United Kingdom,2020-02-04,8.0,0.0,,,0.117,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932
145994,GBR,Europe,United Kingdom,2020-02-05,9.0,1.0,,,0.132,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932
145995,GBR,Europe,United Kingdom,2020-02-06,9.0,0.0,,,0.132,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932
145996,GBR,Europe,United Kingdom,2020-02-07,9.0,0.0,,,0.132,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932
145997,GBR,Europe,United Kingdom,2020-02-08,13.0,4.0,,,0.191,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932
145998,GBR,Europe,United Kingdom,2020-02-09,14.0,1.0,,,0.205,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932
145999,GBR,Europe,United Kingdom,2020-02-10,14.0,0.0,,,0.205,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932
146000,GBR,Europe,United Kingdom,2020-02-11,15.0,1.0,,,0.22,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932
146001,GBR,Europe,United Kingdom,2020-02-12,16.0,1.0,,,0.235,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932
146002,GBR,Europe,United Kingdom,2020-02-13,17.0,1.0,,,0.249,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932
146003,GBR,Europe,United Kingdom,2020-02-14,18.0,1.0,,,0.264,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932
